DateTime,Players,Final Price
31/8/2017 00:00,93978,1499
1/9/2017 00:00,95225,1499
2/9/2017 00:00,101770,1499
3/9/2017 00:00,98491,1499
4/9/2017 00:00,82907,1499
5/9/2017 00:00,77293,1499
6/9/2017 00:00,73582,1499
7/9/2017 00:00,72869,1499
8/9/2017 00:00,79779,1499
9/9/2017 00:00,89120,1499
10/9/2017 00:00,86798,1499
11/9/2017 00:00,66530,1499
12/9/2017 00:00,66520,1499
13/9/2017 00:00,65150,1499
14/9/2017 00:00,62408,1499
15/9/2017 00:00,73065,1499
16/9/2017 00:00,82090,1499
17/9/2017 00:00,78716,1499
18/9/2017 00:00,58441,1499
19/9/2017 00:00,59907,1499
20/9/2017 00:00,59426,1499
21/9/2017 00:00,58898,1499
22/9/2017 00:00,65461,1499
23/9/2017 00:00,73387,1499
24/9/2017 00:00,71310,1499
25/9/2017 00:00,51900,1499
26/9/2017 00:00,51218,1499
27/9/2017 00:00,51511,1499
28/9/2017 00:00,51642,899.4
29/9/2017 00:00,60786,899.4
30/9/2017 00:00,74673,899.4
1/10/2017 00:00,78171,899.4
2/10/2017 00:00,68015,1499
3/10/2017 00:00,66134,1499
4/10/2017 00:00,61288,1499
5/10/2017 00:00,60669,1499
6/10/2017 00:00,64767,1499
7/10/2017 00:00,72643,1499
8/10/2017 00:00,70514,1499
9/10/2017 00:00,52742,1499
10/10/2017 00:00,50820,1499
11/10/2017 00:00,50336,1499
12/10/2017 00:00,50746,1499
13/10/2017 00:00,58635,1499
14/10/2017 00:00,66015,1499
15/10/2017 00:00,64102,1499
16/10/2017 00:00,48031,1499
17/10/2017 00:00,50157,1499
18/10/2017 00:00,47127,1499
19/10/2017 00:00,46420,1499
20/10/2017 00:00,55967,1499
21/10/2017 00:00,65478,1499
22/10/2017 00:00,64020,1499
23/10/2017 00:00,47410,1499
24/10/2017 00:00,47970,1499
25/10/2017 00:00,46626,1499
26/10/2017 00:00,47105,749.5
27/10/2017 00:00,63989,749.5
28/10/2017 00:00,82424,749.5
29/10/2017 00:00,84442,749.5
30/10/2017 00:00,70295,749.5
31/10/2017 00:00,71882,749.5
1/11/2017 00:00,73404,1499
2/11/2017 00:00,72477,1499
3/11/2017 00:00,78959,1499
4/11/2017 00:00,85467,1499
5/11/2017 00:00,81498,1499
6/11/2017 00:00,59560,1499
7/11/2017 00:00,55771,1499
8/11/2017 00:00,54200,1499
9/11/2017 00:00,54047,1499
10/11/2017 00:00,66286,1499
11/11/2017 00:00,75094,1499
12/11/2017 00:00,70788,1499
13/11/2017 00:00,49763,1499
14/11/2017 00:00,49094,1499
15/11/2017 00:00,52523,1499
16/11/2017 00:00,48637,1499
17/11/2017 00:00,58480,1499
18/11/2017 00:00,70117,1499
19/11/2017 00:00,66181,1499
20/11/2017 00:00,46999,1499
21/11/2017 00:00,46917,1499
22/11/2017 00:00,48091,1499
23/11/2017 00:00,49100,1499
24/11/2017 00:00,63753,1499
25/11/2017 00:00,82281,1499
26/11/2017 00:00,82750,1499
27/11/2017 00:00,62915,1499
28/11/2017 00:00,63819,1499
29/11/2017 00:00,65079,1499
30/11/2017 00:00,63775,1499
1/12/2017 00:00,72061,1499
2/12/2017 00:00,84761,1499
3/12/2017 00:00,79645,1499
4/12/2017 00:00,57439,1499
5/12/2017 00:00,55722,1499
6/12/2017 00:00,54949,1499
7/12/2017 00:00,53937,749.5
8/12/2017 00:00,70511,749.5
9/12/2017 00:00,89168,749.5
10/12/2017 00:00,91316,749.5
11/12/2017 00:00,71293,749.5
12/12/2017 00:00,126152,749.5
13/12/2017 00:00,119125,749.5
14/12/2017 00:00,110456,1499
15/12/2017 00:00,127875,1499
16/12/2017 00:00,154459,1499
17/12/2017 00:00,141498,1499
18/12/2017 00:00,105571,1499
19/12/2017 00:00,107180,599.6
20/12/2017 00:00,113418,599.6
21/12/2017 00:00,123599,599.6
22/12/2017 00:00,150243,599.6
23/12/2017 00:00,161903,599.6
24/12/2017 00:00,152716,599.6
25/12/2017 00:00,145268,599.6
26/12/2017 00:00,148170,599.6
27/12/2017 00:00,154982,599.6
28/12/2017 00:00,158567,599.6
29/12/2017 00:00,168488,599.6
30/12/2017 00:00,170644,599.6
31/12/2017 00:00,160876,599.6
1/1/2018 00:00,147852,599.6
2/1/2018 00:00,148051,599.6
3/1/2018 00:00,143826,599.6
4/1/2018 00:00,139009,599.6
5/1/2018 00:00,158124,1499
6/1/2018 00:00,168575,1499
7/1/2018 00:00,157769,1499
8/1/2018 00:00,125418,1499
9/1/2018 00:00,117320,1499
10/1/2018 00:00,111188,1499
11/1/2018 00:00,106271,1499
12/1/2018 00:00,117547,1499
13/1/2018 00:00,134467,1499
14/1/2018 00:00,126661,1499
15/1/2018 00:00,93718,1499
16/1/2018 00:00,91212,1499
17/1/2018 00:00,90051,1499
18/1/2018 00:00,87628,1499
19/1/2018 00:00,97413,1499
20/1/2018 00:00,114171,1499
21/1/2018 00:00,110962,1499
